date,dow,day_part,event_name,covers,staff_foh,staff_boh,labor_cost,revenue,labor_pct,covers_per_foh
2025-09-02,1,Lunch,,18,3,2,235.5,748.5,0.315,6.0
2025-09-03,2,Dinner,,48,5,4,213.75,1734.0,0.123,9.6
2025-09-03,2,Lunch,,22,3,2,353.25,893.5,0.395,7.33
2025-09-04,3,Dinner,,54,6,4,706.5,2594.5,0.272,9.0
2025-09-04,3,Lunch,,26,3,2,117.75,1480.5,0.08,8.67
2025-09-05,4,Dinner,,71,8,6,663.0,3229.5,0.205,8.88
2025-09-05,4,Late,,9,2,2,288.0,514.0,0.56,4.5
2025-09-05,4,Lunch,,35,4,3,331.5,1428.5,0.232,8.75
2025-09-06,5,Dinner,,67,9,7,379.5,2976.0,0.128,7.44
2025-09-06,5,Late,,10,2,2,288.0,396.5,0.726,5.0
2025-09-06,5,Lunch,,39,4,3,497.25,1720.0,0.289,9.75
2025-09-07,6,Dinner,,60,8,6,994.5,2618.0,0.38,7.5
2025-09-07,6,Lunch,,28,4,3,331.5,1281.0,0.259,7.0
2025-09-09,1,Dinner,,48,5,4,427.5,1883.5,0.227,9.6
2025-09-09,1,Lunch,,19,3,2,353.25,724.5,0.488,6.33
2025-09-10,2,Dinner,,51,5,4,427.5,2164.5,0.198,10.2
2025-09-10,2,Lunch,,20,3,2,117.75,898.0,0.131,6.67
2025-09-11,3,Dinner,,51,6,4,471.0,1910.0,0.247,8.5
2025-09-11,3,Lunch,,20,3,2,235.5,899.5,0.262,6.67
2025-09-12,4,Dinner,,74,8,6,994.5,3177.0,0.313,9.25
2025-09-12,4,Late,,10,2,2,96.0,477.0,0.201,5.0
2025-09-12,4,Lunch,,33,4,3,497.25,1761.0,0.282,8.25
2025-09-13,5,Dinner,,76,8,6,663.0,3114.5,0.213,9.5
2025-09-13,5,Late,,10,2,2,96.0,287.5,0.334,5.0
2025-09-13,5,Lunch,,39,4,3,331.5,1621.5,0.204,9.75
2025-09-14,6,Dinner,,63,7,6,619.5,2653.0,0.234,9.0
2025-09-14,6,Lunch,,32,4,3,497.25,1492.5,0.333,8.0
2025-09-16,1,Dinner,,37,5,4,641.25,1634.0,0.392,7.4
2025-09-16,1,Lunch,,17,2,2,192.0,721.0,0.266,8.5
2025-09-17,2,Dinner,,49,5,4,641.25,2015.0,0.318,9.8
2025-09-17,2,Lunch,,20,3,2,235.5,832.0,0.283,6.67
2025-09-18,3,Dinner,,56,6,5,785.25,2625.5,0.299,9.33
2025-09-18,3,Lunch,,25,3,2,353.25,952.5,0.371,8.33
2025-09-19,4,Dinner,,71,8,6,663.0,3083.0,0.215,8.88
2025-09-19,4,Late,,10,2,2,192.0,318.0,0.604,5.0
2025-09-19,4,Lunch,,31,4,3,331.5,1598.0,0.207,7.75
2025-09-20,5,Dinner,,83,8,6,994.5,3886.0,0.256,10.38
2025-09-20,5,Late,,9,2,2,192.0,373.0,0.515,4.5
2025-09-20,5,Lunch,,35,4,3,497.25,1522.0,0.327,8.75
2025-09-21,6,Dinner,,62,7,6,929.25,2658.5,0.35,8.86
2025-09-21,6,Lunch,,29,4,3,165.75,1214.0,0.137,7.25
2025-09-23,1,Dinner,,44,5,4,427.5,1837.5,0.233,8.8
2025-09-23,1,Lunch,,17,2,2,288.0,559.5,0.515,8.5
2025-09-24,2,Dinner,,47,5,4,427.5,2011.0,0.213,9.4
2025-09-24,2,Lunch,,21,3,2,353.25,804.5,0.439,7.0
2025-09-25,3,Dinner,,55,6,5,523.5,2828.5,0.185,9.17
2025-09-25,3,Lunch,,25,3,2,235.5,890.5,0.264,8.33
2025-09-26,4,Dinner,,70,8,6,994.5,2965.5,0.335,8.75
2025-09-26,4,Late,,9,2,2,288.0,421.5,0.683,4.5
2025-09-26,4,Lunch,,35,4,3,497.25,1594.5,0.312,8.75
2025-09-27,5,Dinner,,66,8,6,663.0,2702.5,0.245,8.25
2025-09-27,5,Late,,9,2,2,288.0,435.5,0.661,4.5
2025-09-27,5,Lunch,,36,4,3,331.5,1293.5,0.256,9.0
2025-09-28,6,Dinner,,58,7,5,567.0,2689.0,0.211,8.29
2025-09-28,6,Lunch,,26,4,3,331.5,973.5,0.341,6.5
2025-09-30,1,Dinner,,38,5,4,641.25,1918.5,0.334,7.6
2025-09-30,1,Lunch,,20,2,2,192.0,871.0,0.22,10.0
2025-10-01,2,Dinner,,53,5,4,641.25,2443.0,0.262,10.6
2025-10-01,2,Lunch,,21,3,2,117.75,1090.5,0.108,7.0
2025-10-02,3,Dinner,,57,6,5,785.25,2022.5,0.388,9.5
2025-10-02,3,Lunch,,23,3,2,353.25,1008.5,0.35,7.67
2025-10-03,4,Dinner,,69,8,6,663.0,2678.5,0.248,8.62
2025-10-03,4,Late,,8,2,2,96.0,286.0,0.336,4.0
2025-10-03,4,Lunch,,29,4,3,331.5,1413.0,0.235,7.25
2025-10-04,5,Dinner,,86,8,6,994.5,3421.0,0.291,10.75
2025-10-04,5,Late,,8,2,2,96.0,329.0,0.292,4.0
2025-10-04,5,Lunch,,35,4,3,497.25,1352.5,0.368,8.75
2025-10-05,6,Dinner,,66,7,5,850.5,2889.5,0.294,9.43
2025-10-05,6,Lunch,,31,3,3,432.0,1273.5,0.339,10.33
2025-10-07,1,Dinner,,36,5,4,213.75,1477.5,0.145,7.2
2025-10-07,1,Lunch,,18,2,2,288.0,751.5,0.383,9.0
2025-10-08,2,Dinner,,44,5,4,427.5,2110.0,0.203,8.8
2025-10-08,2,Lunch,,22,3,2,235.5,1015.0,0.232,7.33
2025-10-09,3,Dinner,,53,6,5,261.75,2359.5,0.111,8.83
2025-10-09,3,Lunch,,25,3,2,235.5,857.0,0.275,8.33
2025-10-10,4,Dinner,,69,8,6,994.5,2881.0,0.345,8.62
2025-10-10,4,Late,,8,2,2,192.0,220.0,0.873,4.0
2025-10-10,4,Lunch,,38,4,3,497.25,1751.0,0.284,9.5
2025-10-11,5,Dinner,,81,8,6,663.0,3562.0,0.186,10.12
2025-10-11,5,Late,,12,2,2,192.0,461.0,0.416,6.0
2025-10-11,5,Lunch,,37,4,3,165.75,1516.5,0.109,9.25
2025-10-12,6,Dinner,,67,7,5,567.0,2807.5,0.202,9.57
2025-10-12,6,Lunch,,32,3,3,288.0,1161.0,0.248,10.67
2025-10-14,1,Dinner,,37,4,3,331.5,1846.5,0.18,9.25
2025-10-14,1,Lunch,,22,2,2,192.0,978.5,0.196,11.0
2025-10-15,2,Dinner,,42,5,4,641.25,1741.5,0.368,8.4
2025-10-15,2,Lunch,,20,3,2,353.25,933.0,0.379,6.67
2025-10-16,3,Dinner,,45,6,5,523.5,1899.5,0.276,7.5
2025-10-16,3,Lunch,,23,3,2,353.25,1165.5,0.303,7.67
2025-10-17,4,Dinner,,69,7,6,619.5,3038.0,0.204,9.86
2025-10-17,4,Late,,8,2,2,288.0,276.5,1.042,4.0
2025-10-17,4,Lunch,,34,4,3,165.75,1625.0,0.102,8.5
2025-10-18,5,Dinner,,81,8,7,1073.25,3025.0,0.355,10.12
2025-10-18,5,Late,,11,2,2,288.0,647.5,0.445,5.5
2025-10-18,5,Lunch,,33,4,3,331.5,1286.0,0.258,8.25
2025-10-19,6,Dinner,,83,7,5,850.5,3529.5,0.241,11.86
2025-10-19,6,Lunch,,36,3,3,432.0,1590.5,0.272,12.0
2025-10-21,1,Dinner,,38,4,3,497.25,1227.5,0.405,9.5
2025-10-21,1,Lunch,,20,2,2,288.0,698.5,0.412,10.0
2025-10-22,2,Dinner,,48,5,4,427.5,2372.0,0.18,9.6
2025-10-22,2,Lunch,,17,3,2,235.5,687.0,0.343,5.67
2025-10-23,3,Dinner,,50,6,5,785.25,2056.5,0.382,8.33
2025-10-23,3,Lunch,,22,3,2,235.5,973.0,0.242,7.33
2025-10-24,4,Dinner,,69,7,6,929.25,2996.5,0.31,9.86
2025-10-24,4,Late,,10,2,2,192.0,501.0,0.383,5.0
2025-10-24,4,Lunch,,30,4,3,331.5,1248.5,0.266,7.5
2025-10-25,5,Dinner,,78,8,7,715.5,3451.0,0.207,9.75
2025-10-25,5,Late,,9,2,2,192.0,414.5,0.463,4.5
2025-10-25,5,Lunch,,37,4,3,497.25,1569.0,0.317,9.25
2025-10-26,6,Dinner,,61,7,6,619.5,2740.0,0.226,8.71
2025-10-26,6,Lunch,,25,4,3,331.5,1095.5,0.303,6.25
2025-10-28,1,Dinner,,50,4,3,165.75,1840.5,0.09,12.5
2025-10-28,1,Lunch,,19,2,2,96.0,804.5,0.119,9.5
2025-10-29,2,Dinner,,51,5,4,641.25,2340.0,0.274,10.2
2025-10-29,2,Lunch,,22,2,2,288.0,842.5,0.342,11.0
2025-10-30,3,Dinner,,46,6,4,235.5,2099.5,0.112,7.67
2025-10-30,3,Lunch,,23,3,2,353.25,1076.0,0.328,7.67
2025-10-31,4,Dinner,,65,7,6,619.5,2784.5,0.222,9.29
2025-10-31,4,Late,,11,2,2,288.0,704.5,0.409,5.5
2025-10-31,4,Lunch,,29,4,3,497.25,1414.0,0.352,7.25
2025-11-01,5,Dinner,,83,9,7,1138.5,3981.5,0.286,9.22
2025-11-01,5,Late,,9,2,2,288.0,513.0,0.561,4.5
2025-11-01,5,Lunch,,32,4,3,165.75,1626.0,0.102,8.0
2025-11-02,6,Dinner,,65,7,6,929.25,2953.5,0.315,9.29
2025-11-02,6,Lunch,,31,4,3,497.25,1347.5,0.369,7.75
2025-11-04,1,Dinner,,41,5,4,427.5,1719.0,0.249,8.2
2025-11-04,1,Lunch,,19,2,2,192.0,775.5,0.248,9.5
2025-11-05,2,Dinner,,47,5,4,427.5,1649.5,0.259,9.4
2025-11-05,2,Lunch,,20,3,2,235.5,765.5,0.308,6.67
2025-11-06,3,Dinner,,45,5,4,427.5,2069.5,0.207,9.0
2025-11-06,3,Lunch,,22,3,2,117.75,871.5,0.135,7.33
2025-11-07,4,Dinner,,69,7,6,929.25,3046.5,0.305,9.86
2025-11-07,4,Late,,10,2,2,192.0,506.0,0.379,5.0
2025-11-07,4,Lunch,,27,4,3,165.75,820.0,0.202,6.75
2025-11-08,5,Dinner,,76,9,7,759.0,3200.0,0.237,8.44
2025-11-08,5,Late,,10,2,2,192.0,328.5,0.584,5.0
2025-11-08,5,Lunch,,36,4,3,331.5,1708.5,0.194,9.0
2025-11-09,6,Dinner,,64,7,6,309.75,2820.0,0.11,9.14
2025-11-09,6,Lunch,,33,4,3,331.5,1116.5,0.297,8.25
2025-11-11,1,Dinner,,45,5,4,641.25,1935.5,0.331,9.0
2025-11-11,1,Lunch,,18,2,2,288.0,581.0,0.496,9.0
2025-11-12,2,Dinner,,52,5,4,641.25,2212.5,0.29,10.4
2025-11-12,2,Lunch,,22,2,2,288.0,939.5,0.307,11.0
2025-11-13,3,Dinner,,45,5,4,641.25,1924.5,0.333,9.0
2025-11-13,3,Lunch,,24,3,2,235.5,1092.0,0.216,8.0
2025-11-14,4,Dinner,,79,7,6,309.75,2997.0,0.103,11.29
2025-11-14,4,Late,,10,2,2,288.0,505.0,0.57,5.0
2025-11-14,4,Lunch,,27,3,3,288.0,1266.5,0.227,9.0
2025-11-15,5,Dinner,,74,8,7,1073.25,3021.0,0.355,9.25
2025-11-15,5,Late,,11,2,2,288.0,626.5,0.46,5.5
2025-11-15,5,Lunch,,35,4,3,497.25,1489.5,0.334,8.75
2025-11-16,6,Dinner,,57,7,6,619.5,2898.0,0.214,8.14
2025-11-16,6,Lunch,,26,4,3,497.25,1188.0,0.419,6.5
2025-11-18,1,Dinner,,39,5,4,427.5,1752.5,0.244,7.8
2025-11-18,1,Lunch,,20,2,2,96.0,1153.0,0.083,10.0
2025-11-19,2,Dinner,,45,5,4,213.75,2146.0,0.1,9.0
2025-11-19,2,Lunch,,21,3,2,235.5,1004.5,0.234,7.0
2025-11-20,3,Dinner,,58,5,4,427.5,2335.0,0.183,11.6
2025-11-20,3,Lunch,,24,3,2,353.25,1371.0,0.258,8.0
2025-11-21,4,Dinner,,72,8,6,663.0,3234.0,0.205,9.0
2025-11-21,4,Late,,7,2,2,192.0,183.0,1.049,3.5
2025-11-21,4,Lunch,,32,3,3,432.0,1882.0,0.23,10.67
2025-11-22,5,Dinner,,70,8,6,331.5,2897.5,0.114,8.75
2025-11-22,5,Late,,9,2,2,192.0,377.5,0.509,4.5
2025-11-22,5,Lunch,,35,4,3,331.5,1295.0,0.256,8.75
2025-11-23,6,Dinner,,60,7,5,850.5,2469.5,0.344,8.57
2025-11-23,6,Lunch,,26,3,3,288.0,1032.5,0.279,8.67
2025-11-25,1,Dinner,,35,5,4,641.25,1584.0,0.405,7.0
2025-11-25,1,Lunch,,21,2,2,192.0,769.5,0.25,10.5
2025-11-26,2,Dinner,,43,5,4,427.5,1863.0,0.229,8.6
2025-11-26,2,Lunch,,21,3,2,353.25,803.5,0.44,7.0
2025-11-27,3,Dinner,,56,5,4,641.25,2260.0,0.284,11.2
2025-11-27,3,Lunch,,23,3,2,235.5,1565.0,0.15,7.67
2025-11-28,4,Dinner,,77,8,6,994.5,3830.0,0.26,9.62
2025-11-28,4,Late,,9,2,2,288.0,331.0,0.87,4.5
2025-11-28,4,Lunch,,33,3,3,288.0,1640.0,0.176,11.0
2025-11-29,5,Dinner,,75,8,6,663.0,3298.5,0.201,9.38
2025-11-29,5,Late,,10,2,2,288.0,409.0,0.704,5.0
2025-11-29,5,Lunch,,33,4,3,497.25,1490.0,0.334,8.25
2025-11-30,6,Dinner,,56,7,5,283.5,2022.0,0.14,8.0
2025-11-30,6,Lunch,,29,3,3,432.0,1177.0,0.367,9.67
2025-12-02,1,Dinner,,53,4,4,384.0,2038.5,0.188,13.25
2025-12-02,1,Lunch,,24,2,2,288.0,971.5,0.296,12.0
2025-12-03,2,Dinner,,68,5,4,641.25,2878.5,0.223,13.6
2025-12-03,2,Lunch,,33,3,2,235.5,1413.5,0.167,11.0
2025-12-04,3,Dinner,,62,6,4,471.0,2586.5,0.182,10.33
2025-12-04,3,Lunch,,27,3,2,353.25,1316.0,0.268,9.0
2025-12-05,4,Dinner,,81,8,6,331.5,3372.0,0.098,10.12
2025-12-05,4,Late,,11,2,2,192.0,435.5,0.441,5.5
2025-12-05,4,Lunch,,34,3,3,432.0,1520.5,0.284,11.33
2025-12-06,5,Dinner,,89,8,6,994.5,4062.0,0.245,11.12
2025-12-06,5,Late,,12,2,2,192.0,370.5,0.518,6.0
2025-12-06,5,Lunch,,50,4,3,331.5,2237.5,0.148,12.5
2025-12-07,6,Dinner,,77,6,5,523.5,3193.0,0.164,12.83
2025-12-07,6,Lunch,,28,3,3,144.0,1143.0,0.126,9.33
2025-12-09,1,Dinner,,49,5,4,641.25,1776.5,0.361,9.8
2025-12-09,1,Lunch,,21,3,2,235.5,591.5,0.398,7.0
2025-12-10,2,Dinner,,57,6,4,235.5,2258.5,0.104,9.5
2025-12-10,2,Lunch,,24,3,2,353.25,1198.0,0.295,8.0
2025-12-11,3,Dinner,,55,6,5,785.25,2210.0,0.355,9.17
2025-12-11,3,Lunch,,24,3,2,235.5,1054.5,0.223,8.0
2025-12-12,4,Dinner,,75,8,6,663.0,3514.5,0.189,9.38
2025-12-12,4,Late,,10,2,2,288.0,582.5,0.494,5.0
2025-12-12,4,Lunch,,48,4,3,331.5,2164.5,0.153,12.0
2025-12-13,5,Dinner,,124,8,6,331.5,5081.0,0.065,15.5
2025-12-13,5,Late,,11,2,2,288.0,544.0,0.529,5.5
2025-12-13,5,Lunch,,53,4,3,497.25,2461.0,0.202,13.25
2025-12-14,6,Dinner,,81,7,5,850.5,3982.0,0.214,11.57
2025-12-14,6,Lunch,,35,3,3,288.0,1710.5,0.168,11.67
2025-12-16,1,Dinner,,46,5,4,427.5,1888.0,0.226,9.2
2025-12-16,1,Lunch,,28,3,2,353.25,1171.0,0.302,9.33
2025-12-17,2,Dinner,,62,6,5,523.5,2920.0,0.179,10.33
2025-12-17,2,Lunch,,26,3,2,117.75,1204.0,0.098,8.67
2025-12-18,3,Dinner,,62,6,5,523.5,2427.5,0.216,10.33
2025-12-18,3,Lunch,,31,3,2,353.25,1544.0,0.229,10.33
2025-12-19,4,Dinner,,74,8,6,994.5,3300.0,0.301,9.25
2025-12-19,4,Late,,11,2,2,96.0,437.5,0.219,5.5
2025-12-19,4,Lunch,,39,4,3,497.25,1588.5,0.313,9.75
2025-12-20,5,Dinner,,99,9,7,759.0,4374.0,0.174,11.0
2025-12-20,5,Late,,12,2,2,96.0,533.5,0.18,6.0
2025-12-20,5,Lunch,,43,5,4,427.5,1774.5,0.241,8.6
2025-12-21,6,Dinner,,86,7,6,619.5,3857.5,0.161,12.29
2025-12-21,6,Lunch,,38,3,3,432.0,1802.0,0.24,12.67
2025-12-23,1,Dinner,,53,5,4,641.25,2048.5,0.313,10.6
2025-12-23,1,Lunch,,24,3,2,235.5,1076.0,0.219,8.0
2025-12-24,2,Dinner,Christmas Eve,77,8,6,994.5,3947.25,0.252,9.62
2025-12-24,2,Lunch,Christmas Eve,36,4,3,331.5,1691.38,0.196,9.0
2025-12-27,5,Dinner,,99,10,8,1282.5,4087.5,0.314,9.9
2025-12-27,5,Late,,12,2,2,192.0,554.5,0.346,6.0
2025-12-27,5,Lunch,,41,5,4,641.25,1697.0,0.378,8.2
2025-12-28,6,Dinner,,91,8,6,994.5,3620.5,0.275,11.38
2025-12-28,6,Lunch,,44,4,3,165.75,2080.0,0.08,11.0
2025-12-30,1,Dinner,,47,6,4,471.0,1852.0,0.254,7.83
2025-12-30,1,Lunch,,25,3,2,353.25,1402.0,0.252,8.33
2025-12-31,2,Dinner,New Year's Eve,121,13,10,1090.5,7189.66,0.152,9.31
2025-12-31,2,Lunch,New Year's Eve,44,6,5,785.25,2542.36,0.309,7.33
2026-01-02,4,Dinner,,53,8,6,663.0,2372.5,0.279,6.62
2026-01-02,4,Late,,5,2,2,192.0,247.0,0.777,2.5
2026-01-02,4,Lunch,,24,4,3,331.5,1172.0,0.283,6.0
2026-01-03,5,Dinner,,59,11,8,898.5,2704.0,0.332,5.36
2026-01-03,5,Late,,6,2,2,288.0,172.0,1.674,3.0
2026-01-03,5,Lunch,,29,5,4,427.5,1228.5,0.348,5.8
2026-01-04,6,Dinner,,48,9,7,759.0,2078.5,0.365,5.33
2026-01-04,6,Lunch,,20,4,3,331.5,769.5,0.431,5.0
2026-01-06,1,Dinner,,29,5,4,641.25,1269.0,0.505,5.8
2026-01-06,1,Lunch,,14,3,2,235.5,488.0,0.483,4.67
2026-01-07,2,Dinner,,33,8,7,1073.25,1526.0,0.703,4.12
2026-01-07,2,Lunch,,15,4,3,165.75,612.5,0.271,3.75
2026-01-08,3,Dinner,,43,6,5,785.25,1890.0,0.415,7.17
2026-01-08,3,Lunch,,18,3,3,288.0,873.5,0.33,6.0
2026-01-09,4,Dinner,,49,8,6,994.5,2253.5,0.441,6.12
2026-01-09,4,Late,,7,2,2,288.0,170.5,1.689,3.5
2026-01-09,4,Lunch,,17,4,3,497.25,867.0,0.574,4.25
2026-01-10,5,Dinner,,55,10,8,1282.5,2596.5,0.494,5.5
2026-01-10,5,Late,,6,2,2,96.0,230.5,0.416,3.0
2026-01-10,5,Lunch,,27,5,4,641.25,930.0,0.69,5.4
2026-01-11,6,Dinner,,54,8,6,994.5,2136.0,0.466,6.75
2026-01-11,6,Lunch,,22,4,3,497.25,702.0,0.708,5.5
2026-01-13,1,Dinner,,33,5,4,213.75,1389.0,0.154,6.6
2026-01-13,1,Lunch,,12,3,2,353.25,697.0,0.507,4.0
2026-01-14,2,Dinner,,33,8,6,663.0,1391.5,0.476,4.12
2026-01-14,2,Lunch,,15,4,3,331.5,583.0,0.569,3.75
2026-01-15,3,Dinner,,37,6,5,523.5,1512.0,0.346,6.17
2026-01-15,3,Lunch,,16,3,2,353.25,874.0,0.404,5.33
2026-01-16,4,Dinner,,53,7,5,567.0,2171.5,0.261,7.57
2026-01-16,4,Late,,8,2,2,96.0,208.5,0.46,4.0
2026-01-16,4,Lunch,,26,4,3,331.5,1131.0,0.293,6.5
2026-01-17,5,Dinner,,59,8,6,663.0,2456.0,0.27,7.38
2026-01-17,5,Late,,9,2,2,192.0,379.5,0.506,4.5
2026-01-17,5,Lunch,,29,4,3,165.75,1306.5,0.127,7.25
2026-01-18,6,Dinner,,50,7,6,619.5,2136.0,0.29,7.14
2026-01-18,6,Lunch,,22,4,3,331.5,1066.5,0.311,5.5
2026-01-20,1,Dinner,,31,5,4,427.5,1215.5,0.352,6.2
2026-01-20,1,Lunch,,14,2,2,192.0,690.5,0.278,7.0
2026-01-21,2,Dinner,,37,7,6,929.25,1554.0,0.598,5.29
2026-01-21,2,Lunch,,14,3,3,432.0,759.5,0.569,4.67
2026-01-22,3,Dinner,,41,5,4,641.25,1847.0,0.347,8.2
2026-01-22,3,Lunch,,15,3,2,117.75,821.0,0.143,5.0
2026-01-23,4,Dinner,,56,6,5,785.25,2405.0,0.327,9.33
2026-01-23,4,Late,,7,2,2,192.0,282.5,0.68,3.5
2026-01-23,4,Lunch,,23,3,3,432.0,807.0,0.535,7.67
2026-01-24,5,Dinner,,61,7,6,929.25,2431.5,0.382,8.71
2026-01-24,5,Late,,6,2,2,288.0,292.0,0.986,3.0
2026-01-24,5,Lunch,,31,4,3,331.5,1623.0,0.204,7.75
2026-01-25,6,Dinner,,41,7,5,850.5,1525.0,0.558,5.86
2026-01-25,6,Lunch,,21,3,3,432.0,646.0,0.669,7.0
2026-01-27,1,Dinner,,35,4,3,497.25,1543.0,0.322,8.75
2026-01-27,1,Lunch,,13,2,2,288.0,499.0,0.577,6.5
2026-01-28,2,Dinner,,31,6,5,523.5,1435.0,0.365,5.17
2026-01-28,2,Lunch,,17,3,2,235.5,662.0,0.356,5.67
2026-01-29,3,Dinner,,38,5,4,213.75,1669.0,0.128,7.6
2026-01-29,3,Lunch,,16,2,2,192.0,560.5,0.343,8.0
2026-01-30,4,Dinner,,47,6,5,523.5,2231.0,0.235,7.83
2026-01-30,4,Late,,7,2,2,288.0,209.0,1.378,3.5
2026-01-30,4,Lunch,,20,3,2,117.75,782.0,0.151,6.67
2026-01-31,5,Dinner,,60,6,5,523.5,2508.5,0.209,10.0
2026-01-31,5,Late,,6,2,2,192.0,349.5,0.549,3.0
2026-01-31,5,Lunch,,29,3,3,432.0,1369.0,0.316,9.67
2026-02-01,6,Dinner,,55,5,4,427.5,2456.0,0.174,11.0
2026-02-01,6,Lunch,,26,3,2,235.5,1125.0,0.209,8.67
2026-02-03,1,Dinner,,42,4,3,165.75,2193.5,0.076,10.5
2026-02-03,1,Lunch,,17,2,2,96.0,534.5,0.18,8.5
2026-02-04,2,Dinner,,37,4,3,497.25,1269.5,0.392,9.25
2026-02-04,2,Lunch,,15,2,2,288.0,665.5,0.433,7.5
2026-02-05,3,Dinner,,38,4,4,384.0,1761.5,0.218,9.5
2026-02-05,3,Lunch,,22,2,2,288.0,908.0,0.317,11.0
2026-02-06,4,Dinner,,62,6,4,706.5,2699.0,0.262,10.33
2026-02-06,4,Late,,8,2,2,192.0,397.5,0.483,4.0
2026-02-06,4,Lunch,,32,3,2,235.5,1466.0,0.161,10.67
2026-02-07,5,Dinner,,73,6,5,785.25,3270.5,0.24,12.17
2026-02-07,5,Late,,10,2,2,288.0,341.0,0.845,5.0
2026-02-07,5,Lunch,,29,3,3,144.0,1181.5,0.122,9.67
2026-02-08,6,Dinner,,56,5,4,641.25,2344.5,0.274,11.2
2026-02-08,6,Lunch,,26,3,2,353.25,840.0,0.421,8.67
2026-02-10,1,Dinner,,33,4,3,331.5,1509.5,0.22,8.25
2026-02-10,1,Lunch,,17,2,2,192.0,742.5,0.259,8.5
2026-02-11,2,Dinner,,39,4,3,331.5,1690.5,0.196,9.75
2026-02-11,2,Lunch,,18,2,2,192.0,636.0,0.302,9.0
2026-02-12,3,Dinner,,49,4,3,497.25,2249.5,0.221,12.25
2026-02-12,3,Lunch,,21,2,2,96.0,764.0,0.126,10.5
2026-02-13,4,Dinner,,59,6,5,523.5,2590.5,0.202,9.83
2026-02-13,4,Late,,9,2,2,288.0,364.0,0.791,4.5
2026-02-13,4,Lunch,,25,3,2,353.25,1090.0,0.324,8.33
2026-02-14,5,Dinner,Valentine's Day,92,10,8,855.0,4555.72,0.188,9.2
2026-02-14,5,Late,Valentine's Day,13,2,2,192.0,871.9,0.22,6.5
2026-02-14,5,Lunch,Valentine's Day,43,5,4,427.5,2496.92,0.171,8.6
