date,dow_name,covers,revenue,orders,avg_spend_per_cover
2026-01-27,Tuesday,48,2042.0,17,42.54
2026-01-28,Wednesday,48,2097.0,19,43.69
2026-01-29,Thursday,54,2229.5,21,41.29
2026-01-30,Friday,74,3222.0,30,43.54
2026-01-31,Saturday,95,4227.0,33,44.49
2026-02-01,Sunday,81,3581.0,31,44.21
2026-02-03,Tuesday,59,2728.0,21,46.24
2026-02-04,Wednesday,52,1935.0,19,37.21
2026-02-05,Thursday,60,2669.5,21,44.49
2026-02-06,Friday,102,4562.5,39,44.73
2026-02-07,Saturday,112,4793.0,40,42.79
2026-02-08,Sunday,82,3184.5,30,38.84
2026-02-10,Tuesday,50,2252.0,18,45.04
2026-02-11,Wednesday,57,2326.5,20,40.82
2026-02-12,Thursday,70,3013.5,29,43.05
2026-02-13,Friday,93,4044.5,32,43.49
2026-02-14,Saturday,148,7924.54,53,53.54
2026-02-15,Sunday,82,3343.5,27,40.77
2026-02-17,Tuesday,58,2448.0,19,42.21
2026-02-18,Wednesday,62,2811.0,21,45.34
2026-02-19,Thursday,69,3087.5,27,44.75
2026-02-20,Friday,98,4027.5,39,41.1
2026-02-21,Saturday,114,4958.5,39,43.5
2026-02-22,Sunday,68,3119.5,22,45.88
2026-02-24,Tuesday,52,2347.5,19,45.14
2026-02-25,Wednesday,60,2964.0,22,49.4
2026-02-26,Thursday,52,2308.5,16,44.39
2026-02-27,Friday,93,4374.5,34,47.04
2026-02-28,Saturday,110,4926.0,44,44.78
2026-03-01,Sunday,90,4123.0,32,45.81
2026-03-03,Tuesday,55,2191.5,21,39.85
2026-03-04,Wednesday,67,3128.0,29,46.69
2026-03-05,Thursday,72,2844.5,25,39.51
2026-03-06,Friday,102,4780.5,37,46.87
2026-03-07,Saturday,98,4814.5,38,49.13
2026-03-08,Sunday,76,3562.5,33,46.88
2026-03-10,Tuesday,57,2190.5,19,38.43
2026-03-11,Wednesday,68,3062.0,24,45.03
2026-03-12,Thursday,73,2926.0,24,40.08
2026-03-13,Friday,107,4285.5,42,40.05
2026-03-14,Saturday,102,4286.5,42,42.02
2026-03-15,Sunday,144,6133.05,51,42.59
2026-03-17,Tuesday,54,2435.0,22,45.09
2026-03-18,Wednesday,60,2883.5,21,48.06
2026-03-19,Thursday,71,3392.0,25,47.77
2026-03-20,Friday,103,4677.0,38,45.41
2026-03-21,Saturday,106,4534.0,38,42.77
2026-03-22,Sunday,86,3528.0,33,41.02
2026-03-24,Tuesday,58,2467.5,21,42.54
2026-03-25,Wednesday,64,2953.5,26,46.15
2026-03-26,Thursday,73,2870.5,24,39.32
2026-03-27,Friday,110,5202.0,38,47.29
2026-03-28,Saturday,119,5449.5,40,45.79
2026-03-29,Sunday,93,3808.5,36,40.95
2026-03-31,Tuesday,61,2470.0,23,40.49
2026-04-01,Wednesday,66,3117.5,21,47.23
2026-04-02,Thursday,77,3165.0,28,41.1
2026-04-03,Friday,93,4000.0,33,43.01
2026-04-04,Saturday,114,5086.5,39,44.62
2026-04-05,Sunday,135,6294.75,43,46.63
2026-04-07,Tuesday,59,2203.0,24,37.34
2026-04-08,Wednesday,64,2768.0,24,43.25
2026-04-09,Thursday,78,3232.0,31,41.44
2026-04-10,Friday,113,4717.0,40,41.74
2026-04-11,Saturday,142,5467.0,56,38.5
2026-04-12,Sunday,96,3811.0,34,39.7
2026-04-14,Tuesday,61,3135.0,26,51.39
2026-04-15,Wednesday,63,2753.5,23,43.71
2026-04-16,Thursday,72,2701.5,25,37.52
2026-04-17,Friday,118,5307.0,41,44.97
2026-04-18,Saturday,124,4709.5,47,37.98
2026-04-19,Sunday,83,3549.0,29,42.76
2026-04-21,Tuesday,51,2058.0,20,40.35
2026-04-22,Wednesday,70,3148.0,28,44.97
2026-04-23,Thursday,73,3092.5,30,42.36
2026-04-24,Friday,83,3158.0,33,38.05
2026-04-25,Saturday,133,5837.0,43,43.89
2026-04-26,Sunday,83,3827.5,29,46.11
2026-04-28,Tuesday,59,2304.5,27,39.06
2026-04-29,Wednesday,70,3179.0,25,45.41
2026-04-30,Thursday,78,3288.5,27,42.16
2026-05-01,Friday,117,5747.0,44,49.12
2026-05-02,Saturday,116,5273.0,43,45.46
2026-05-03,Sunday,102,3915.5,38,38.39
2026-05-05,Tuesday,67,3018.0,23,45.04
2026-05-06,Wednesday,70,3068.5,22,43.84
2026-05-07,Thursday,79,3704.5,31,46.89
2026-05-08,Friday,105,4764.5,39,45.38
2026-05-09,Saturday,125,5440.0,47,43.52
2026-05-10,Sunday,82,3670.0,34,44.76
2026-05-12,Tuesday,53,2288.5,22,43.18
2026-05-13,Wednesday,68,2975.0,22,43.75
2026-05-14,Thursday,75,3621.0,29,48.28
2026-05-15,Friday,112,4742.5,40,42.34
2026-05-16,Saturday,134,5838.0,45,43.57
2026-05-17,Sunday,97,4180.5,37,43.1
2026-05-19,Tuesday,65,2495.5,27,38.39
2026-05-20,Wednesday,64,3263.5,25,50.99
2026-05-21,Thursday,68,2961.0,27,43.54
2026-05-22,Friday,109,4658.0,40,42.73
2026-05-23,Saturday,121,5530.0,41,45.7
2026-05-24,Sunday,95,3849.0,33,40.52
2026-05-26,Tuesday,62,2408.5,22,38.85
2026-05-27,Wednesday,62,2810.5,20,45.33
2026-05-28,Thursday,78,3885.0,29,49.81
2026-05-29,Friday,109,4340.5,38,39.82
2026-05-30,Saturday,140,6081.0,52,43.44
2026-05-31,Sunday,80,3604.5,32,45.06
2026-06-02,Tuesday,62,2492.5,25,40.2
2026-06-03,Wednesday,75,3425.0,29,45.67
2026-06-04,Thursday,81,3706.0,31,45.75
2026-06-05,Friday,120,5175.0,46,43.12
2026-06-06,Saturday,134,5679.0,51,42.38
2026-06-07,Sunday,87,3812.0,30,43.82
2026-06-09,Tuesday,63,2626.5,24,41.69
2026-06-10,Wednesday,76,3111.0,26,40.93
2026-06-11,Thursday,80,3698.5,30,46.23
2026-06-12,Friday,127,5513.5,49,43.41
2026-06-13,Saturday,138,6025.5,47,43.66
2026-06-14,Sunday,90,3738.5,31,41.54
2026-06-16,Tuesday,62,2904.0,24,46.84
2026-06-17,Wednesday,67,3406.5,26,50.84
2026-06-18,Thursday,79,3523.0,33,44.59
2026-06-19,Friday,120,5405.5,38,45.05
2026-06-20,Saturday,144,5730.0,59,39.79
2026-06-21,Sunday,138,6969.16,49,50.5
2026-06-23,Tuesday,67,3185.5,21,47.54
2026-06-24,Wednesday,70,3522.5,27,50.32
2026-06-25,Thursday,80,3651.0,31,45.64
2026-06-26,Friday,125,5617.5,43,44.94
2026-06-27,Saturday,115,4804.0,43,41.77
2026-06-28,Sunday,99,4061.5,35,41.03
2026-06-30,Tuesday,66,3012.5,24,45.64
2026-07-01,Wednesday,70,2852.5,26,40.75
2026-07-02,Thursday,100,3708.5,41,37.08
2026-07-03,Friday,123,4971.5,42,40.42
2026-07-04,Saturday,128,5095.5,49,39.81
2026-07-05,Sunday,117,5260.5,43,44.96
2026-07-07,Tuesday,76,3578.0,24,47.08
2026-07-08,Wednesday,77,3454.0,36,44.86
2026-07-09,Thursday,82,3350.0,30,40.85
2026-07-10,Friday,135,5758.5,51,42.66
2026-07-11,Saturday,132,5586.0,50,42.32
2026-07-12,Sunday,103,4260.5,38,41.36
2026-07-14,Tuesday,58,2278.5,21,39.28
2026-07-15,Wednesday,75,2890.5,25,38.54
2026-07-16,Thursday,84,3302.5,31,39.32
2026-07-17,Friday,119,4857.5,41,40.82
2026-07-18,Saturday,150,6762.5,59,45.08
2026-07-19,Sunday,110,5022.5,45,45.66
2026-07-21,Tuesday,72,3275.0,24,45.49
2026-07-22,Wednesday,85,3679.5,32,43.29
2026-07-23,Thursday,82,3686.5,33,44.96
2026-07-24,Friday,132,5147.5,44,39.0
2026-07-25,Saturday,136,5888.0,45,43.29
2026-07-26,Sunday,111,5080.0,40,45.77
2026-07-28,Tuesday,60,2287.0,21,38.12
2026-07-29,Wednesday,62,2514.5,23,40.56
2026-07-30,Thursday,79,3598.5,30,45.55
2026-07-31,Friday,133,5667.0,48,42.61
2026-08-01,Saturday,128,5757.0,51,44.98
2026-08-02,Sunday,89,3786.5,35,42.54
2026-08-04,Tuesday,65,3148.0,25,48.43
2026-08-05,Wednesday,73,3398.0,27,46.55
2026-08-06,Thursday,77,3432.0,32,44.57
2026-08-07,Friday,114,5153.0,46,45.2
2026-08-08,Saturday,131,5790.0,50,44.2
2026-08-09,Sunday,95,4373.5,29,46.04
2026-08-11,Tuesday,57,2357.5,22,41.36
